"current","postion"
3.750646426,0.5
3.750646426,0.506442284
3.750646426,0.525258268
3.750646426,0.555481456
3.750646426,0.595958016
3.750646426,0.645449702
3.750646426,0.702720921
3.750646426,0.766599178
3.750646426,0.836009501
3.750646426,0.909988914
3.750646426,0.987687862
3.750646426,1.068364216
3.750646426,1.151373709
3.750646426,1.236159157
3.750646426,1.322239785
3.750646426,1.409201315
3.750646426,1.496687086
3.750646426,1.584390258
3.750646426,1.672047055
3.750646426,1.759430946
3.750646426,1.846347652
3.750646426,1.932630862
3.750646426,2.018138569
3.750646426,2.102749915
3.750646426,2.186362483
3.750646426,2.268889963
3.750646426,2.350260128
3.750646426,2.430413089
3.750646426,2.509299778
3.750646426,2.586880618
3.750646426,2.663124371
2.034212918,2.738007129
2.034212918,2.810624754
2.034212918,2.880156036
2.034212918,2.946704559
2.034212918,3.010371367
2.034212918,3.071254888
2.034212918,3.129450894
2.034212918,3.185052479
2.034212918,3.238150051
2.034212918,3.28883135
2.034212918,3.337181462
2.034212918,3.383282859
2.034212918,3.427215428
2.034212918,3.469056524
2.034212918,3.508881016
2.034212918,3.546761338
2.034212918,3.582767548
2.034212918,3.616967381
2.034212918,3.649426315
2.034212918,3.680207621
2.034212918,3.709372431
2.034212918,3.736979795
2.034212918,3.763086742
2.034212918,3.787748338
2.034212918,3.811017746
2.034212918,3.832946284
2.034212918,3.853583485
2.034212918,3.872977147
2.034212918,3.891173395
2.034212918,3.908216732
2.034212918,3.924150089
2.034212918,3.939014883
2.034212918,3.952851062
2.034212918,3.965697156
2.034212918,3.977590324
2.034212918,3.988566403
2.034212918,3.998659948
2.034212918,4.00790428
2.034212918,4.016331528
2.034212918,4.023972667
2.034212918,4.030857563
2.034212918,4.037015008
2.034212918,4.042472757
2.034212918,4.047257568
2.034212918,4.051395234
2.034212918,4.054910617
2.034212918,4.057827685
2.034212918,4.060169538
2.034212918,4.061958441
2.034212918,4.063215857
2.034212918,4.06396247
2.034212918,4.064218219
2.034212918,4.064002318
2.034212918,4.063333287
3.456494831,4.062228978
3.456494831,4.061180894
3.456494831,4.060655125
3.456494831,4.060631377
3.456494831,4.061089973
3.456494831,4.062011837
3.456494831,4.063378478
3.456494831,4.065171971
3.456494831,4.067374942
3.456494831,4.069970556
3.456494831,4.0729425
3.456494831,4.076274966
3.456494831,4.079952644
3.456494831,4.083960703
3.456494831,4.088284779
3.456494831,4.092910966
3.456494831,4.097825798
3.456494831,4.103016242
3.456494831,4.108469683
3.456494831,4.114173915
3.456494831,4.120117127
3.456494831,4.126287898
3.456494831,4.132675177
3.456494831,4.139268284
3.456494831,4.146056889
3.456494831,4.153031013
3.456494831,4.160181008
3.456494831,4.167497555
3.456494831,4.174971653
3.456494831,4.182594609
3.456494831,4.19035803
3.456494831,4.198253814
3.456494831,4.206274144
3.456494831,4.214411476
3.456494831,4.222658535
3.456494831,4.231008305
3.456494831,4.239454022
3.456494831,4.247989167
3.456494831,4.256607458
3.456494831,4.265302843
3.456494831,4.274069497
3.456494831,4.282901808
3.456494831,4.291794376
